library_type,academy,year,season,category,subject,author,dynasty,description,file_url
课艺库,求志书院,1884,夏,掌故,"R     ○算学 超等：陈维祺、沈善蒸、程之骥；特等：韩恩荣。",未知,清,"R     ○算学 超等：陈维祺、沈善蒸、程之骥；特等：韩恩荣。",
课艺库,求志书院,1884,夏,掌故,"O   词章超等：张树莫、杨引传、王念君、朱逢甲、李鼎颐、钱衡 拔；特等：金庭萼、陈曾彪、宋锡福、杜史琪、王廷鼎、蔡济勤；一等：张 尚纯、杨应环、吴大文、秦锡田、秦锡申、王士骏。(1885.4.14第",未知,清,"4308 号第三版)",
课艺库,求志书院,1884,秋,经学,"北  ○史学  超等：曹元弼、丁庆慈、朱逢甲、王廷鼎、陶承潞、萧銮； 特等：陆宝经、汪开祉、王光熊；不取：孙泰折、姚启宇、朱应福、季鸿 熙、李鼎颐、梁维谦。",未知,清,"北  ○史学  超等：曹元弼、丁庆慈、朱逢甲、王廷鼎、陶承潞、萧銮； 特等：陆宝经、汪开祉、王光熊；不取：孙泰折、姚启宇、朱应福、季鸿 熙、李鼎颐、梁维谦。",
课艺库,求志书院,1884,秋,经学,"□○掌故超等：范本礼、朱逢甲、周宝箴、陶承潞、黄锡恭、严祥 彬；特等：王廷鼎、姚文神、萧銮；不取：汪开祉、许庆尧、王光熊、陈葆 清、倪承瓒。",未知,清,"□○掌故超等：范本礼、朱逢甲、周宝箴、陶承潞、黄锡恭、严祥 彬；特等：王廷鼎、姚文神、萧銮；不取：汪开祉、许庆尧、王光熊、陈葆 清、倪承瓒。",
课艺库,求志书院,1884,秋,经学,"〇算学 超等：沈善蒸、崔朝庆、程之骥；特等：朱璟；一等：钱潮。 地○舆地 超等：于鬯、许克勤、徐森、沈家桂；特等：周宝箴、戴羲、 倪承瓒、王廷鼎；一等：王念君、王光熊、顾增瑞、严祥彬。",未知,清,"〇算学 超等：沈善蒸、崔朝庆、程之骥；特等：朱璟；一等：钱潮。 地○舆地 超等：于鬯、许克勤、徐森、沈家桂；特等：周宝箴、戴羲、 倪承瓒、王廷鼎；一等：王念君、王光熊、顾增瑞、严祥彬。",
课艺库,求志书院,1884,冬,掌故,"边股，法以股自之为长方积，句除股舁倍之为长阔较，有 底句,底股，法以句自之为长方积，股除句舁倍之为长阔较，均开平方 得阔为半城径，作图明之；",有边句,清,"边股，法以股自之为长方积，句除股舁倍之为长阔较，有 底句,底股，法以句自之为长方积，股除句舁倍之为长阔较，均开平方 得阔为半城径，作图明之；",
课艺库,求志书院,1884,冬,词章,"①经学 超等：蔡维馨、王廷鼎、过炎、金承熙、陶忠讷、许文蔚； 特等六名、一等六名，余不取。",未知,清,"①经学 超等：蔡维馨、王廷鼎、过炎、金承熙、陶忠讷、许文蔚； 特等六名、一等六名，余不取。",
课艺库,求志书院,1885,春,算学,"正负平方式，无论隅为何数，将式倒置之，令实为隅，隅为实，则 开得之根与原根比，若隅与实比；正负立方式，设下廉为三，卯上廉为 卯乘下廉之数，或三乘方式，下廉为四，卯上廉为卯乘下廉三因二除 之数，从为卯乘",未知,清,"上廉二因三除之数，自一隅至从，或俱正、或正负相 间，法以实反其正负与卯之方，或三乘方积相加，复开正立方，或正三 乘方与卯相加减，即各得原根三乘，以上类推，试证之；",
课艺库,求志书院,1885,春,经学,"美○史学超等：朱逢甲、汪开祉、葛士浚、萧銮、严祥彬、韩柳文； 特等：许克勤、王光熊、王廷鼎，不取一名。",未知,清,"美○史学超等：朱逢甲、汪开祉、葛士浚、萧銮、严祥彬、韩柳文； 特等：许克勤、王光熊、王廷鼎，不取一名。",
课艺库,求志书院,1885,秋,掌故,"有半径一，求二十二度半正余弦，法以二之平方根与一相减、或  相加为实，二之平方根倍之为法，又一为实，二因二之平方根与四相  加或相减为法，又三与二个二之平方根相减或一为实，四与二个二之  平方根相减为",未知,清,"法，又三与二个二之平方根相加或一为实，四与二个二  之平方根相加为法，各以法除实，复开平方得正弦或余弦，式分四种， 每种二式，均由算理演得；若于诸法实中笔取其一互乘除，其法实亦  可令诸式互变，且能增得分式，试详诸式之原；",
课艺库,求志书院,1885,秋,算学,"O 舆地超等：汪赞蚡、葛尚远；特等：潘熙、倪承瓒； 一等：丁桂 琪、张昌年。",未知,清,"O 舆地超等：汪赞蚡、葛尚远；特等：潘熙、倪承瓒； 一等：丁桂 琪、张昌年。",
课艺库,求志书院,1885,秋,词章,"陈有常,殷松年,沈汝豹,程理镛。(1886.5.20第4702号第 二版)",树圭,清,"陈有常,殷松年,沈汝豹,程理镛。(1886.5.20第4702号第 二版)",
课艺库,求志书院,1885,冬,词章,"稿》有用坡仙梅花十咏韵诗各七绝一首今仿其体不必用韵，爱梅、访梅、 见梅、探梅、咏梅、遇梅、愬梅、拟梅、友梅、赞梅。(1886.1.29第4598  号第二、三版)",未知,清,"稿》有用坡仙梅花十咏韵诗各七绝一首今仿其体不必用韵，爱梅、访梅、 见梅、探梅、咏梅、遇梅、愬梅、拟梅、友梅、赞梅。(1886.1.29第4598  号第二、三版)",
课艺库,求志书院,1886,冬,算学,"设有截积上下为诸等边之面，二面平行，上下边数亦同，上边小 于下边，有上边乙、下边甲，有高，求截积重心。别得截积为尖锥内减 去虚积之余，法以截积为一率，虚积为二率，虚积重心距锥积重心为 三率，求得截积重",未知,清,"心距锥积重心为四率，以减锥积重心距底面心，得 截积重心距底面心。其式为甲乙二■相加，复加甲乙相乘，四因之为 法，甲羿加二个甲乙相乘复加三个乙羿以高乘之为实，比例之法，不",
课艺库,求志书院,1887,春,算学,"直剖四角立垛为诸行，则左行为高，右行为三角平垛，以此诸行 自右而左为乘法，与他垛逐层相乘，自高而下，若除去右一行不用，与 高减一之他垛相乘，,则乘得首层为二次层，为三个增乘积之次层三 层，为四个增乘积",未知,清,"之三层，若除去右二行、或右三行不用，与高减二或 高减三之他垛相乘，则得首层为三或为四次层，以下类推，问以此法 相乘，所得增二乘积共有几何?",
课艺库,求志书院,1887,春,算学,"如自左而右为乘法，与他垛逐层相乘，自高而下除去左一行、或 二行、或三行不用，与高减一、或减二、或减三之他垛相乘，视所得比 不除乘得者少若干，则知乘得之增二乘共有几何?",未知,清,"如自左而右为乘法，与他垛逐层相乘，自高而下除去左一行、或 二行、或三行不用，与高减一、或减二、或减三之他垛相乘，视所得比 不除乘得者少若干，则知乘得之增二乘共有几何?",
课艺库,求志书院,1887,夏,算学,"设欲求三个正负方根，作三项为空之立方式，法以圆半径与圆内 所容之十等边为首中率，求得末率，以此三率为三根，命首中率为负 根、或正根，则末率为正根或负根，又法任取大小两根相乘，以两根较  除之得又一根，",未知,清,"命除得数与大根同号，小根异号，用上二法求得三根， 各反其根号，以加天元连乘，得式必空第三项，试言其理。",
课艺库,求志书院,1887,秋,算学,"東弦，求城径，以天元运求得开方式为贵，若先求虚弦， 复由虚弦转求者次之；",有明弦,清,"東弦，求城径，以天元运求得开方式为贵，若先求虚弦， 复由虚弦转求者次之；",
课艺库,求志书院,1887,秋,算学,"假如一为第一级，寅除卯为第二级，二级自乘为第三级，二、三级 相乘为第四级，顺是以下，得无穷级，设有全级，求寅与卯各同数，问 算式宜若何?",未知,清,"假如一为第一级，寅除卯为第二级，二级自乘为第三级，二、三级 相乘为第四级，顺是以下，得无穷级，设有全级，求寅与卯各同数，问 算式宜若何?",
课艺库,求志书院,1887,秋,舆地,"戴羲,吴佐清,张子纯,季光镜,许克勤,潘彭龄,张 绶青，一等十一名。",潞；特等：戴辅尧,清,"戴羲,吴佐清,张子纯,季光镜,许克勤,潘彭龄,张 绶青，一等十一名。",
课艺库,求志书院,1887,冬,史学,"徘  ○掌故超等：朱逢甲、汪开祉、王廷材、姚锡光、许克勤、叶承 锡；特等：黄锡恭，不取一名。",未知,清,"徘  ○掌故超等：朱逢甲、汪开祉、王廷材、姚锡光、许克勤、叶承 锡；特等：黄锡恭，不取一名。",
课艺库,求志书院,1887,冬,词章,"钱衡拔,陆祖诰,陈曾彪,杨应环,戴树圭；一等六名， 不取六名。(1888.8.7第5496号第三版)",乾；特等：陆珩,清,"钱衡拔,陆祖诰,陈曾彪,杨应环,戴树圭；一等六名， 不取六名。(1888.8.7第5496号第三版)",
课艺库,求志书院,1888,春,算学,"二层三,三层六，逐层为乘法，自上而下，与 三角平垛相乘得三个三乘积，与本形自乘得六个四乘积，若除去一二 三诸层不用，以截积诸层与平立垛相乘，所得之增二乘积仍为三个及 六个，惟高与正负之数各不相同，试详",以三角立垛，一层一,清,"言之；",
课艺库,求志书院,1888,春,算学,"为甲倍，同高三角立垛内少甲加乙减一为倍数之高减一之积复多乙 倍高减二之积，又三角平垛全积，或截积顺乘，立垛所得三乘垛皆为 三个，惟高与正负之数各不相同，知此二理，,复命三减十为卯，则演 得二十四倍，共",未知,清,"银得五六二八零为负实，甲乘卯加一与乙乘卯加二相 加十二之又以四卯加六减之得八六六为上廉正，甲乘卯加三以乙乘 卯减之十二之又以九减之得四五九为中廉正，乙减甲二十四之加四 卯又加六得一零六为下廉正，九正隅开三乘方得日数，试依法演之。",
课艺库,求志书院,1888,春,舆地,"O 词章题：今日并为天下春赋以题为韵；拟白乐天《把酒思闲事》 不拘首数；仁和王丹麓更定文章九命， 一通显、二荐引、三纯全、四宠  遇、五安乐、六荣名、七寿考、八神仙、九昌后，各为之赞；海若问河伯  辞",未知,清,"；河伯答海若辞。(1888.5.3第5400号第三版)",
课艺库,求志书院,1888,夏,经学,"〇史学题：问《汉书 ·地理志》郡国下盐官、职官、工官、服官、木 官、陂官、湖官、均输官、家马官、牧师官、发弩官、圃羞官等名，《百官 表》漏略不载者甚多，能考其说欤?高帝求贤诏遣诣丞相府署行义 年，何者",未知,清,"谓仁?何者谓义?万室之邑必自万钟之藏藏襁千万、千室之 邑必有千钟之藏藏襁百万论；汉郡中称将论。",
