library_type,academy,year,season,category,subject,author,dynasty
课题库,求志书院,十九年,春,算学,"有大弧正余弦，有小弧正弦，求大小相减之较弧通弦，试为术解；",未知,清
课题库,求志书院,十九年,春,算学,"半径自乘为长方积，全径为长阔较，开平方得阔为二十二度半正 切，试溯其理；",未知,清
课题库,求志书院,十九年,春,算学,"有同弦之两句股形，知两句，知两股和，法以两句幂相减自之和 幂除之得两股，较之自乘数加相幂四约之于上，复以两句幂相加半 之，加人上位，开平方得弦，试详其理及求两股之法；",未知,清
课题库,求志书院,十九年,春,算学,"句股内容长方，令长方形之阔得长甲之乙，其甲乙为任何数，有 句股，求长阔，问以何法御之；",未知,清
课题库,求志书院,十九年,春,算学,"〇舆地之学十题：历代疆域广狭论；三江诸说异同表；职方九州  岛谷宜有三种、四种、五种者，杨荆独少，何欤?古汝河迁徙沿革考； 要塞说；粤江诸源考；平西域善后事宜策；问近时西人有谓土路火车 可代河运者，其说何如?俄土战和议；黑海形势关系大局论。",未知,清
课题库,求志书院,十九年,春,算学,"○词章之学十一题：飞云龙于春路赋以云龙春路神虎秋方为韵；汉 赋、唐诗、宋词、元曲以上四题各七律一首，不限韵；正月晦日送穷词、二 月二日迎富词以上二题不限体韵；春禊诗五七律俱可，集《兰亭序》字；文房 四友合传骈散俱可；莺燕判、蜂蝶判以上二题均限骈体。(1878.4.3第 1820号第二版)",未知,清
课题库,求志书院,十九年,春,算学,"上海求志书院己卯(1879)春季题目",未知,清
课题库,求志书院,十九年,春,算学,"◎经学题：一服朝考；二衍忒解；岁三田说；补四题说。",未知,清
课题库,求志书院,十九年,春,算学,"○史学题：敬翔论；郭祟韬谕；桑维翰论；刘仁瞻论。",未知,清
课题库,求志书院,十九年,春,算学,"○掌故题：论积谷备荒何以无弊；水田筑圩论；詹事府官属均旧 制始于何时?三月三日祓楔说。",未知,清
课题库,求志书院,十九年,春,算学,"假如机器有甲乙至壬癸十轴，轴端有输轮，周有齿，近轮饶轴一 匝，亦各有齿，命曰轴，齿中轴左旋，则甲轮齿引乙轴齿右旋，乙轴右 旋，则乙轮齿引丙轴齿左旋，由是递旋递引各轮齿，轴齿均为已知之 数，求甲轴一周时发轴行几何周?几何齿数?",未知,清
课题库,求志书院,十九年,春,算学,"有大小不等三圆，平置直线上，知左右两圆与直线相切之两点 距，知任二圆径，求余一圆径；",未知,清
课题库,求志书院,十九年,春,算学,"有大小两号正切，求和弧正切，法以两切相乘，半径除之，用减半 径为法，半径乘两切和为实，法除实得和弧正切，作图明之；",未知,清
课题库,求志书院,十九年,春,算学,"圆内容十四等边，半径为连比例一率，边为连比例二率，则一率 等于二、三率之和，加二四率之较，试读以图。",未知,清
课题库,求志书院,十九年,春,算学,"〇舆地题：唐叔封河汾之东考；褒斜古通辨；楚郢四迁论；北宋不 规燕蓟论。",未知,清
课题库,求志书院,十九年,春,算学,"○词章题：相兼二八将猛四七赋以令斯民睹泰阶之平为韵；春雪、春 雷、春月、春云以上各七律一首；闰上已歌不限体韵。(1879.4.3第1820 号第二版)",未知,清
课题库,求志书院,十九年,夏,算学,"上海求志书院己卯夏季课题",未知,清
课题库,求志书院,十九年,春,算学,"○经学：仲夏大雩帝解；女子子嫁者未嫁者为世父母叔父母姑姊 妹解；诗今古文说；春秋备金木水火土五行说。",未知,清
课题库,求志书院,十九年,春,算学,"○史学：汉立六国后未行而罢论；曹参为相国不治事论；汉置三 老孝悌力田常员论；汉募民徙塞下论。",未知,清
课题库,求志书院,十九年,春,算学,"○掌故：养老良规；恤孤善法；保婴要策；弭盗妙方。",未知,清
课题库,求志书院,十九年,春,算学,"三角形自两腰交角至底作二分积线，分全面积为三等分，有三 边，求分积线；法以左腰幂与两段右腰幂相加于上，以右腰幂与两段 左腰幂相加于下，上下各减去底幂三之二，复三约之，各开平方，一得 右分积线，一得左分积线，试证之；",未知,清
课题库,求志书院,十九年,春,算学,"有两力斜抵一物，知两力，知两力方向，求并力；若力向所交之角 为锐角，则以此力乘角之倍余弦，半径除之，以加彼力，复以彼力乘 之，用加此力之自乘数，开平方得并力，试言其理，且推广御钝角 之法；",未知,清
课题库,求志书院,十九年,春,算学,"明句自乘为长方积，以明股除明句幂倍之为长阔较，又以重股自",未知,清
课题库,求志书院,十九年,春,算学,"乘为长方积，以重句除吏股幂倍之为长阔较，各开平方得长，均为半 城径，准此理可作月心及山心线，月心南角等于诸形之半句弦交角， 山心川角等于诸形之半股弦交角，作图明之；",未知,清
课题库,求志书院,十九年,春,算学,"有甲乙两球相切，并切平面上，欲于两球间容小球，令与两球及 平面均相切，知甲乙两球径，求小球径。",未知,清
课题库,求志书院,十九年,春,算学,"○舆地：覃怀称小江南说；春秋时南海北海考；论陪都辅郡；琉球 疆域考。",未知,清
